,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
233829,233829,339090.0,390710.0,-2.91778,53.409662,3,2,1,31/07/2006,2,6,3,5047,Dual carriageway,30,3.0,4,2,5.0,4,3,2,0,5.0,1,2006,7
416213,416213,369880.0,429810.0,-2.458397,53.763761,3,4,2,08/05/2007,3,16,6,0,Dual carriageway,50,3.0,6,2,1.0,4,3,2,1,0.0,1,2007,5
675693,105682,569330.0,190150.0,0.442734,51.584713,3,2,2,01/09/2009,3,17,3,127,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,9
576757,6746,544500.0,188130.0,0.083779,51.573471,3,2,1,05/09/2009,7,17,3,12,Dual carriageway,50,3.0,5,2,2.0,4,3,2,0,5.0,1,2009,9
149154,149154,600500.0,159840.0,0.874926,51.302299,2,2,2,20/02/2005,1,17,1,2,Dual carriageway,70,4.0,-1,2,1.0,1,5,1,0,5.0,2,2005,2
602602,32591,340660.0,384800.0,-2.893052,53.356724,3,2,1,31/05/2009,1,13,4,5171,Dual carriageway,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,5
584654,14643,520920.0,192870.0,-0.25467,51.621618,3,2,1,13/05/2009,4,7,3,1,Dual carriageway,50,3.0,3,2,2.0,4,3,2,0,5.0,1,2009,5
304291,304291,517620.0,282960.0,-0.271371,52.431939,3,1,1,27/05/2006,7,0,2,1,Dual carriageway,70,1.0,2,2,1.0,3,3,1,0,5.0,2,2006,5
92098,92098,359150.0,224600.0,-2.595382,51.918377,3,2,1,17/01/2005,2,17,3,40,Dual carriageway,70,4.0,-1,2,1.0,1,5,1,0,5.0,2,2005,1
114456,114456,561560.0,318160.0,0.391572,52.736905,3,2,2,23/03/2005,4,14,3,47,Dual carriageway,70,1.0,3,2,1.0,4,3,2,0,5.0,1,2005,3
560225,560225,339170.0,732860.0,-2.989319,56.483952,3,2,1,23/08/2007,5,7,3,90,Dual carriageway,50,2.0,4,2,1.0,4,3,2,0,5.0,1,2007,8
604628,34617,376460.0,401410.0,-2.356424,53.508836,3,3,1,28/07/2009,3,7,3,580,Dual carriageway,50,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,7
685512,115501,465260.0,151880.0,-1.066085,51.262295,2,1,1,13/07/2009,2,11,1,3,Dual carriageway,70,3.0,3,2,1.0,4,3,1,6,5.0,2,2009,7
274991,274991,406800.0,290980.0,-1.901232,52.516634,3,2,1,10/12/2006,1,10,3,34,Dual carriageway,40,1.0,3,2,1.0,4,5,1,0,5.0,1,2006,12
32064,32064,353060.0,431050.0,-2.713724,53.773658,2,2,1,13/12/2005,3,17,3,5085,Dual carriageway,30,1.0,5,2,1.0,3,3,2,0,5.0,1,2005,12
755299,185288,532180.0,192550.0,-0.092228,51.616213,3,2,1,11/06/2010,6,7,3,406,Dual carriageway,50,4.0,-1,2,1.0,4,3,2,0,5.0,1,2010,6
478015,478015,447030.0,357350.0,-1.298869,53.111252,2,2,1,13/11/2007,3,16,3,38,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2007,11
960128,390117,420000.0,287260.0,-1.706932,52.482869,3,2,1,14/02/2011,2,19,3,446,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2011,2
96141,96141,446520.0,342420.0,-1.308638,52.977097,2,1,1,27/07/2005,4,17,3,6007,Dual carriageway,40,4.0,-1,2,5.0,4,3,2,0,5.0,1,2005,7
969071,399060,445760.0,311850.0,-1.324235,52.702369,3,1,1,10/01/2011,2,4,4,585,Dual carriageway,60,1.0,3,2,1.0,3,3,3,0,5.0,2,2011,1
987532,417521,502400.0,184670.0,-0.524485,51.551584,3,2,1,05/10/2011,4,5,1,25,Dual carriageway,70,4.0,-1,2,1.0,3,3,2,0,5.0,2,2011,10
603734,33723,383860.0,394060.0,-2.244464,53.44305,3,2,1,14/08/2009,6,21,3,5103,Dual carriageway,30,3.0,3,2,2.0,3,3,2,0,5.0,1,2009,8
717946,147935,317700.0,178860.0,-3.187146,51.502612,3,2,1,08/02/2009,1,18,6,0,Dual carriageway,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,2
725108,155097,336490.0,699430.0,-3.024748,56.183299,3,1,1,31/03/2009,3,8,6,0,Dual carriageway,20,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,3
604521,34510,377780.0,403300.0,-2.336656,53.525881,3,2,1,12/05/2009,3,20,3,666,Dual carriageway,30,1.0,1,2,1.0,4,2,2,0,5.0,2,2009,5
916931,346920,362022.0,431518.0,-2.577806,53.778597,3,3,3,08/11/2011,3,14,3,59,Dual carriageway,50,3.0,6,2,2.0,4,3,2,0,5.0,2,2011,11
54188,54188,427650.0,565360.0,-1.569479,54.982101,3,4,2,10/06/2005,6,9,3,193,Dual carriageway,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2005,6
239185,239185,372900.0,411240.0,-2.410958,53.597018,3,2,2,27/08/2006,1,19,3,58,Dual carriageway,40,3.0,3,2,1.0,3,3,1,0,5.0,1,2006,8
764245,194234,334030.0,397590.0,-2.995333,53.470885,3,2,1,13/05/2010,5,15,3,5036,Dual carriageway,40,1.0,6,2,1.0,4,3,2,0,5.0,1,2010,5
36723,36723,352340.0,397570.0,-2.719512,53.472685,3,3,3,03/02/2005,5,6,3,580,Dual carriageway,60,3.0,6,2,4.0,3,3,2,0,5.0,1,2005,2
327015,327015,488870.0,242940.0,-0.704639,52.077658,3,2,1,29/09/2006,6,10,3,509,Dual carriageway,70,1.0,6,2,1.0,4,3,1,0,5.0,1,2006,9
819232,249221,430830.0,311120.0,-1.545246,52.696861,3,1,1,18/11/2010,5,18,3,42,Dual carriageway,70,4.0,-1,2,1.0,1,3,1,0,5.0,2,2010,11
701230,131219,560660.0,103660.0,0.279015,50.810147,3,3,2,02/12/2009,4,8,3,22,Dual carriageway,70,4.0,-1,2,1.0,4,5,1,0,5.0,2,2009,12
473246,473246,421500.0,286640.0,-1.684884,52.477238,3,1,1,02/02/2007,6,17,1,6,Dual carriageway,70,1.0,1,2,1.0,0,3,2,0,5.0,2,2007,2
77957,77957,408790.0,294750.0,-1.871807,52.550498,3,3,4,08/06/2005,4,14,4,4149,Dual carriageway,30,4.0,-1,2,2.0,4,3,2,0,5.0,1,2005,6
827320,257309,516200.0,255810.0,-0.301613,52.188261,2,3,5,30/08/2010,2,11,3,1,Dual carriageway,60,4.0,-1,2,1.0,4,3,2,0,5.0,2,2010,8
790088,220077,450440.0,393530.0,-1.242201,53.436133,3,2,1,01/12/2010,4,17,1,18,Dual carriageway,70,4.0,-1,2,1.0,1,8,5,0,5.0,2,2010,12
